brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Royal Canin,Bulldog Puppy,Royal Canin Bulldog Puppy,dog,dry,puppy,medium,Bulldog,,dog;puppy;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-bulldog-puppy-dog-dry-gr-photo,
Royal Canin,Cavalier King Charles Puppy,Royal Canin Cavalier King Charles Puppy,dog,dry,puppy,medium,Cavalier King Charles,,dog;puppy;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,
Royal Canin,Chihuahua Adult,Royal Canin Chihuahua Adult,dog,dry,adult,mini,Chihuahua,,dog;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-chihuahua-adult-dog-dry-gr-photo,
Royal Canin,Chihuahua Puppy,Royal Canin Chihuahua Puppy,dog,dry,puppy,mini,Chihuahua,,dog;puppy;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-chihuahua-puppy-dog-dry-gr-photo,
Royal Canin,French Bulldog Adult,Royal Canin French Bulldog Adult,dog,dry,adult,medium,French Bulldog,,dog;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-french-bulldog-adult-dog-dry-gr-photo,
Royal Canin,French Bulldog Puppy,Royal Canin French Bulldog Puppy,dog,dry,puppy,medium,French Bulldog,,dog;puppy;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,
Royal Canin,Giant Adult,Royal Canin Giant Adult,dog,dry,adult,giant,,,dog;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-giant-adult-dog-dry-gr-photo,
Royal Canin,Maxi Adult,Royal Canin Maxi Adult,dog,dry,adult,large,,,dog;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-dog-dry-gr-photo,
Royal Canin,Maxi Adult Ageing 8+,Royal Canin Maxi Adult Ageing 8+,dog,dry,senior,large,,,dog;senior;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,
Royal Canin,Maxi Adult Light Weight Care,Royal Canin Maxi Adult Light Weight Care,dog,dry,adult,large,,obesity,dog;weight_control;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care; image_count=9; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,
Royal Canin,Maxi Adult Sterilised,Royal Canin Maxi Adult Sterilised,dog,dry,adult,large,,,dog;sterilised;large_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult sterilised; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-maxi-adult-sterilised-dog-dry-gr-photo,
Royal Canin,Medium Adult,Royal Canin Medium Adult,dog,dry,adult,medium,,,dog;medium_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-medium-adult-dog-dry-gr-photo,
Royal Canin,Medium Adult Ageing 7+,Royal Canin Medium Adult Ageing 7+,dog,dry,senior,medium,,,dog;senior;medium_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult ageing 7+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-medium-adult-ageing-7-dog-dry-gr-photo,
Royal Canin,Medium Adult Sterilised,Royal Canin Medium Adult Sterilised,dog,dry,adult,medium,,,dog;sterilised;medium_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult sterilised; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-medium-adult-sterilised-dog-dry-gr-photo,
Royal Canin,Mini Adult,Royal Canin Mini Adult,dog,dry,adult,mini,,,dog;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-dog-dry-gr-photo,
Royal Canin,Mini Adult Ageing 12+,Royal Canin Mini Adult Ageing 12+,dog,dry,senior,mini,,,dog;senior;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 12+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-ageing-12-dog-dry-gr-photo,
Royal Canin,Mini Adult Ageing 8+,Royal Canin Mini Adult Ageing 8+,dog,dry,senior,mini,,,dog;senior;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 8+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-ageing-8-dog-dry-gr-photo,
Royal Canin,Mini Adult Coat Care,Royal Canin Mini Adult Coat Care,dog,dry,adult,mini,,,dog;skin_coat;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult coat care; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-coat-care-dog-dry-gr-photo,
Royal Canin,Mini Adult Digestive Care,Royal Canin Mini Adult Digestive Care,dog,dry,adult,mini,,gi_support,dog;sensitive_digestion;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult digestive care; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-digestive-care-dog-dry-gr-photo,
Royal Canin,Mini Adult Exigent,Royal Canin Mini Adult Exigent,dog,dry,adult,mini,,,dog;exigent;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult exigent; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-exigent-dog-dry-gr-photo,
Royal Canin,Mini Adult Light Weight Care,Royal Canin Mini Adult Light Weight Care,dog,dry,adult,mini,,obesity,dog;weight_control;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult light weight care; image_count=9; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-light-weight-care-dog-dry-gr-photo,
Royal Canin,Mini Adult Sterilised,Royal Canin Mini Adult Sterilised,dog,dry,adult,mini,,,dog;sterilised;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult sterilised; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,
Royal Canin,Miniature Schnauzer Adult,Royal Canin Miniature Schnauzer Adult,dog,dry,adult,mini,Miniature Schnauzer,,dog;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal miniature schnauzer adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo,
Royal Canin,Shih Tzu Adult,Royal Canin Shih Tzu Adult,dog,dry,adult,mini,Shih Tzu,,dog;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-shih-tzu-adult-dog-dry-gr-photo,
Royal Canin,West Highland White Terrier Adult,Royal Canin West Highland White Terrier Adult,dog,dry,adult,,West Highland White Terrier,,dog;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo,
Royal Canin,X-Small Adult,Royal Canin X-Small Adult,dog,dry,adult,mini,,,dog;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-x-small-adult-dog-dry-gr-photo,
Royal Canin,X-Small Adult Ageing 12+,Royal Canin X-Small Adult Ageing 12+,dog,dry,senior,mini,,,dog;senior;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-x-small-adult-ageing-12-dog-dry-gr-photo,
Royal Canin,X-Small Adult Ageing 8+,Royal Canin X-Small Adult Ageing 8+,dog,dry,senior,mini,,,dog;senior;small_breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+; image_count=7; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-x-small-adult-ageing-8-dog-dry-gr-photo,
Royal Canin,Yorkshire Terrier Puppy,Royal Canin Yorkshire Terrier Puppy,dog,dry,puppy,mini,Yorkshire Terrier,,dog;puppy;small_breed;breed_specific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_review,,manual_photo,market=GR; basis=as-fed; source_tier=pack_photo; evidence_path=C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy; image_count=8; extraction_scope=identity_only; nutrition_transcription_required=true,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo,
