priority,brand,name,species,status,missing_fields,evidence_needed,request_text,source_url,notes
"high","Royal Canin","Maxi Adult 5+","dog","needs_review","kcal_per_100g|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent","official_pdf_or_label_photo","Please provide official labelled/as-fed analytical values for Royal Canin Maxi Adult 5+ (dog, UK). Missing fields: kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.royalcanin.com/uk/dogs/products/retail-products/maxi-adult-5%2B-3008.","https://www.royalcanin.com/uk/dogs/products/retail-products/maxi-adult-5%2B-3008","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=15kg; note=Official Royal Canin UK page lacks kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
"high","Royal Canin","Mini Adult","dog","needs_review","calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent","official_pdf_or_label_photo","Please provide official labelled/as-fed analytical values for Royal Canin Mini Adult (dog, UK). Missing fields: calcium_percent, phosphorus_percent, sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.royalcanin.com/uk/dogs/products/retail-products/mini-adult-3001.","https://www.royalcanin.com/uk/dogs/products/retail-products/mini-adult-3001","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=2kg|4kg|8kg; note=Official Royal Canin UK page lacks calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
"high","Royal Canin","Mini Digestive Care","dog","needs_review","kcal_per_100g|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent","official_pdf_or_label_photo","Please provide official labelled/as-fed analytical values for Royal Canin Mini Digestive Care (dog, UK). Missing fields: kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.royalcanin.com/uk/dogs/products/retail-products/digestive-care-mini-2447.","https://www.royalcanin.com/uk/dogs/products/retail-products/digestive-care-mini-2447","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=3kg|8kg; note=Official Royal Canin UK page lacks kcal_per_100g, calcium_percent, phosphorus_percent, sodium_percent, and magnesium_percent."
"medium","Ambrosia","Beef & Fresh Salmon","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Beef & Fresh Salmon (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/beef-fresh-salmon/.","https://ambrosiapetfood.com/el/products/beef-fresh-salmon/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Chicken & Fresh Fish","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Chicken & Fresh Fish (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/chicken-fresh-fish/.","https://ambrosiapetfood.com/el/products/chicken-fresh-fish/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Chicken & Fresh Salmon","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Chicken & Fresh Salmon (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/chicken-fresh-salmon/.","https://ambrosiapetfood.com/el/products/chicken-fresh-salmon/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Chicken & Veggies","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Chicken & Veggies (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/chicken-veggies/.","https://ambrosiapetfood.com/el/products/chicken-veggies/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Duck","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Duck (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-duck/.","https://ambrosiapetfood.com/el/products/fresh-duck/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Lamb","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Lamb (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-lamb/.","https://ambrosiapetfood.com/el/products/fresh-lamb/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Salmon & Chicken","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Salmon & Chicken (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/.","https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Salmon & Rabbit","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Salmon & Rabbit (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/.","https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Salmon & Turkey","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Salmon & Turkey (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/.","https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Sardine & Cod","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Sardine & Cod (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-sardine-cod/.","https://ambrosiapetfood.com/el/products/fresh-sardine-cod/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Sardine & Tuna","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Sardine & Tuna (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/.","https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Turkey","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Turkey (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-turkey/.","https://ambrosiapetfood.com/el/products/fresh-turkey/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Turkey & Chicken","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Turkey & Chicken (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/.","https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Turkey & Duck","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Turkey & Duck (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-turkey-duck/.","https://ambrosiapetfood.com/el/products/fresh-turkey-duck/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Turkey & Rabbit","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Turkey & Rabbit (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/.","https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Turkey & Salmon","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Turkey & Salmon (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/.","https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Fresh Venison & Lamb","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Fresh Venison & Lamb (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/fresh-venison-lamb/.","https://ambrosiapetfood.com/el/products/fresh-venison-lamb/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Ambrosia","Lamb & Fresh Salmon","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Ambrosia Lamb & Fresh Salmon (dog, GR). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/.","https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/","market=GR; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; form=dry; note=Ambrosia official Greek product page; sodium_percent and magnesium_percent not published."
"medium","Farmina","N&D Ancestral Grain Chicken & Pomegranate Puppy Mini","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Farmina N&D Ancestral Grain Chicken & Pomegranate Puppy Mini (dog, MT). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html.","https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html","market=MT; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=2.5kg; note=Official Farmina Malta page does not publish sodium_percent or magnesium_percent."
"medium","Farmina","N&D Pumpkin Chicken and Pomegranate Adult Mini","dog","partial","sodium_percent|magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Farmina N&D Pumpkin Chicken and Pomegranate Adult Mini (dog, MT). Missing fields: sodium_percent, magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html.","https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html","market=MT; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=800g|2.5kg|7kg; note=Official Farmina Malta page does not publish sodium_percent or magnesium_percent."
"medium","Virbac","Veterinary HPM Adult Entire Large & Medium","dog","partial","magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Virbac Veterinary HPM Adult Entire Large & Medium (dog, UK). Missing fields: magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://uk.virbac.com/products/petfood/adult-neutered-dog-food-large.","https://uk.virbac.com/products/petfood/adult-neutered-dog-food-large","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=3kg|7kg|12kg; note=Official Virbac UK page does not publish magnesium_percent."
"medium","Virbac","Veterinary HPM Adult Neutered Large & Medium","dog","partial","magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Virbac Veterinary HPM Adult Neutered Large & Medium (dog, UK). Missing fields: magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://uk.virbac.com/products/adult-neutered-large-medium-dog-food-for-medium-large-breeds?category=94.","https://uk.virbac.com/products/adult-neutered-large-medium-dog-food-for-medium-large-breeds?category=94","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; note=Official Virbac UK page does not publish magnesium_percent."
"medium","Virbac","Veterinary HPM Adult Sensitive Neutered Large & Medium","dog","partial","magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Virbac Veterinary HPM Adult Sensitive Neutered Large & Medium (dog, UK). Missing fields: magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://uk.virbac.com/products/adult-sensitive-neutered-dog-food-for-medium-large-breeds.","https://uk.virbac.com/products/adult-sensitive-neutered-dog-food-for-medium-large-breeds","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=3kg|12kg; note=Official Virbac UK page does not publish magnesium_percent."
"medium","Virbac","Veterinary HPM Junior Medium","dog","partial","magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Virbac Veterinary HPM Junior Medium (dog, UK). Missing fields: magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://store.uk.virbac.com/dog-junior-medium-breed-diet.","https://store.uk.virbac.com/dog-junior-medium-breed-diet","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; pack_sizes=3kg|12kg; note=Official Virbac UK web store page does not publish magnesium_percent."
"medium","Virbac","Veterinary HPM Puppy Large & Medium","dog","partial","magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Virbac Veterinary HPM Puppy Large & Medium (dog, UK). Missing fields: magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://checkout.uk.virbac.com/products/puppy-large-medium-dry-puppy-food-for-medium-large-breeds.","https://checkout.uk.virbac.com/products/puppy-large-medium-dry-puppy-food-for-medium-large-breeds","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; note=Official Virbac UK page does not publish magnesium_percent."
"medium","Virbac","Veterinary HPM Senior Entire Large & Medium","dog","partial","magnesium_percent","official_pdf_manufacturer_response_or_label_photo","Please provide official labelled/as-fed analytical values for Virbac Veterinary HPM Senior Entire Large & Medium (dog, UK). Missing fields: magnesium_percent. Accepted evidence: current manufacturer PDF, official technical sheet, manufacturer support response, or clear label photos for the exact formula and market. Current source: https://uk.virbac.com/products/senior-entire-dry-dog-food-for-medium-large-breeds.","https://uk.virbac.com/products/senior-entire-dry-dog-food-for-medium-large-breeds","market=UK; basis=as-fed; source_tier=official; source_kind=product_page; moisture=9; pack_sizes=3kg|12kg; note=Official Virbac UK page does not publish magnesium_percent."
