formula_key,brand,formula_name,species,missing_fields,source_url,recommended_action
alaska-river-grain-free-adult-large-chicken-and-salmon-dog-dry-gr-gatoskilo,Alaska River,Grain Free Adult Large Chicken & Salmon,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27972-alaska-river-grain-free-adult-large-chicken-salmon-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
alaska-river-grain-free-adult-large-chicken-and-turkey-dog-dry-gr-gatoskilo,Alaska River,Grain Free Adult Large Chicken & Turkey,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27973-alaska-river-grain-free-adult-large-chicken-turkey-3kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
alaska-river-grain-free-adult-light-chicken-and-turkey-dog-dry-gr-gatoskilo,Alaska River,Grain Free Adult Light Chicken & Turkey,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27970-alaska-river-grain-free-adult-light-chicken-turkey-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
alaska-river-grain-free-adult-medium-chicken-and-salmon-dog-dry-gr-gatoskilo,Alaska River,Grain Free Adult Medium Chicken & Salmon,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27966-alaska-river-grain-free-adult-medium-chicken-salmon-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
cesar-adult-dog-κοτοπουλο-σολομοσ-and-λαχανικα-dog-dry-gr-gatoskilo,Cesar,"Adult Dog Κοτόπουλο, Σολομός & Λαχανικά",dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/30084-cesar-adult-dog-kotopoulo-solomos-laxanika-800gr.html,"Backfill from official page, label photo, or trusted retailer source before import."
diamond-naturals-all-life-stages-chicken-and-rice-dog-dry-gr-gatoskilo,Diamond Naturals,All Life Stages Chicken & Rice,dog,ash_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/22508-diamond-naturals-all-life-stages-chicken-rice-15kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
diamond-naturals-large-adult-lamb-and-rice-dog-dry-gr-gatoskilo,Diamond Naturals,Large Adult Lamb & Rice,dog,ash_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/22515-diamond-naturals-large-adult-lamb-rice-15kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
hills-hill-s-sp-adult-light-medium-κοτοπουλο-dog-dry-gr-gatoskilo,Hills,Hill's SP Adult Light Medium Κοτόπουλο,dog,ash_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/10054-hill-s-sp-adult-light-medium-kotopoulo-25kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
hills-hill-s-sp-adult-performance-dog-dry-gr-gatoskilo,Hills,Hill's SP Adult Performance,dog,ash_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/10052-hill-s-sp-adult-performance-14kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
hills-hill-s-sp-mature-adult-light-medium-κοτοπουλο-dog-dry-gr-gatoskilo,Hills,Hill's SP Mature Adult Light Medium Κοτόπουλο,dog,ash_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/10067-hill-s-sp-mature-adult-light-medium-kotopoulo-14kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
hills-hill-s-sp-puppy-medium-αρνι-and-ρυζι-dog-dry-gr-gatoskilo,Hills,Hill's SP Puppy Medium Αρνί & Ρύζι,dog,ash_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/10031-hill-s-sp-puppy-medium-arni-rizi-25kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
kippy-dog-adult-κοτοπουλο-and-λαχανικα-dog-dry-gr-gatoskilo,Kippy,Dog Adult Κοτόπουλο & Λαχανικά,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27988-kippy-dog-adult-kotopoulo-laxanika-20kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
kippy-dog-adult-original-κοτοπουλο-dog-dry-gr-gatoskilo,Kippy,Dog Adult Original Κοτόπουλο,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27987-kippy-dog-adult-original-kotopoulo-20kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
kippy-dog-maxi-adult-κοτοπουλο-dog-dry-gr-gatoskilo,Kippy,Dog Maxi Adult Κοτόπουλο,dog,fiber_percent,https://www.gatoskilo.gr/ksira-trofi-skyloy/27989-kippy-dog-maxi-adult-kotopoulo-20kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
pedigree-adult-mini-μοσχαρι-and-λαχανικα-dog-dry-gr-gatoskilo,Pedigree,Adult Mini Μοσχάρι & Λαχανικά,dog,ingredient_text,https://www.gatoskilo.gr/ksira-trofi-skyloy/21469-pedigree-adult-mini-mosxari-laxanika-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
pro-nutrition-flatazor-pro-nutrition-protect-flatazor-dermato-dog-dog-dry-gr-gatoskilo,Pro-Nutrition (Flatazor),Pro-Nutrition Protect (Flatazor) Dermato Dog,dog,ash_percent,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/8945-pro-nutrition-protect-flatazor-dermato-dog-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
vet-expert-dermatosis-dog-rabbit-and-potato-dog-dry-gr-gatoskilo,Vet Expert,Dermatosis Dog Rabbit & Potato,dog,fiber_percent,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/12568-vet-expert-dermatosis-dog-rabbit-potato-2kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
vet-expert-dermatosis-dog-salmon-and-potato-dog-dry-gr-gatoskilo,Vet Expert,Dermatosis Dog Salmon & Potato,dog,fiber_percent,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/12570-vet-expert-dermatosis-dog-salmon-potato-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
vet-expert-hepatic-dog-dog-dry-gr-gatoskilo,Vet Expert,Hepatic Dog,dog,fiber_percent,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/12573-vet-expert-hepatic-dog-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
vet-expert-hypoallergenic-dog-insect-dog-dry-gr-gatoskilo,Vet Expert,Hypoallergenic Dog Insect,dog,fiber_percent,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/12576-vet-expert-hypoallergenic-dog-insect-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
vet-expert-intestinal-dog-elimination-dog-dry-gr-gatoskilo,Vet Expert,Intestinal Dog Elimination,dog,fiber_percent,https://www.gatoskilo.gr/kliniki-ksiri-trofi-skyloy/12586-vet-expert-intestinal-dog-elimination-12kg.html,"Backfill from official page, label photo, or trusted retailer source before import."
