canonical_identity_key,row_count,candidate_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,formula_keys
royal canin|maxi ageing 8 plus|dog|dry,4,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo,Royal Canin Maxi Ageing 8+ 15kg,retailer|official|unknown,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo|royal-canin-maxi-ageing-8-dog-dry-gr-official|royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet
royal canin|bulldog puppy|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-bulldog-puppy-dog-dry-gr-official,Royal Canin Bulldog Puppy,official|retailer|manual_photo,royal-canin-bulldog-puppy-dog-dry-gr-official|royal-canin-bulldog-puppy-dog-dry-gr-gatoskilo|royal-canin-bulldog-puppy-dog-dry-gr-photo
royal canin|chihuahua adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-chihuahua-adult-dog-dry-gr-official,Royal Canin Chihuahua Adult,official|retailer|manual_photo,royal-canin-chihuahua-adult-dog-dry-gr-official|royal-canin-chihuahua-adult-dog-dry-gr-gatoskilo|royal-canin-chihuahua-adult-dog-dry-gr-photo
royal canin|chihuahua puppy|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-chihuahua-puppy-dog-dry-gr-official,Royal Canin Chihuahua Puppy,official|retailer|manual_photo,royal-canin-chihuahua-puppy-dog-dry-gr-official|royal-canin-chihuahua-puppy-dog-dry-gr-gatoskilo|royal-canin-chihuahua-puppy-dog-dry-gr-photo
royal canin|french bulldog adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin French Bulldog Adult,official|retailer|manual_photo,royal-canin-french-bulldog-adult-dog-dry-gr-official|royal-canin-french-bulldog-adult-dog-dry-gr-gatoskilo|royal-canin-french-bulldog-adult-dog-dry-gr-photo
royal canin|giant adult|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-giant-adult-dog-dry-gr-gatoskilo,Royal Canin Giant Adult 4kg,retailer|official|manual_photo,royal-canin-giant-adult-dog-dry-gr-gatoskilo|royal-canin-giant-adult-dog-dry-gr-official|royal-canin-giant-adult-dog-dry-gr-photo
royal canin|junior giant|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-junior-giant-dog-dry-gr-official,Royal Canin JUNIOR - GIANT,official|unknown,royal-canin-junior-giant-dog-dry-gr-official|royal-canin-royal-canin-junior-giant-dog-dry-gr-spreadsheet
royal canin|maxi adult|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-maxi-adult-dog-dry-gr-gatoskilo,Royal Canin Maxi Adult 3kg,retailer|official|manual_photo,royal-canin-maxi-adult-dog-dry-gr-gatoskilo|royal-canin-maxi-adult-dog-dry-gr-official|royal-canin-maxi-adult-dog-dry-gr-photo
royal canin|medium adult|dog|dry,3,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-medium-adult-dog-dry-gr-gatoskilo,Royal Canin Medium Adult 3kg,retailer|official|manual_photo,royal-canin-medium-adult-dog-dry-gr-gatoskilo|royal-canin-medium-adult-dog-dry-gr-official|royal-canin-medium-adult-dog-dry-gr-photo
royal canin|shih tzu adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-shih-tzu-adult-dog-dry-gr-official,Royal Canin Shih Tzu Adult,official|retailer|manual_photo,royal-canin-shih-tzu-adult-dog-dry-gr-official|royal-canin-shih-tzu-adult-dog-dry-gr-gatoskilo|royal-canin-shih-tzu-adult-dog-dry-gr-photo
royal canin|west highland white terrier adult|dog|dry,3,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-official,Royal Canin West Highland White Terrier Adult,official|retailer|manual_photo,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-official|royal-canin-west-highland-white-terrier-adult-dog-dry-gr-gatoskilo|royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo
royal canin|medium starter|dog|dry,3,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-medium-starter-dog-dry-gr-gatoskilo,Royal Canin Medium Starter 4kg,retailer|unknown,royal-canin-medium-starter-dog-dry-gr-gatoskilo|royal-canin-royal-canin-medium-starter-dog-dry-gr-spreadsheet
royal canin|yorkshire junior|dog|dry,3,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-yorkshire-junior-dog-dry-gr-gatoskilo,Royal Canin Yorkshire Junior 1.5kg,retailer|unknown,royal-canin-yorkshire-junior-dog-dry-gr-gatoskilo|royal-canin-royal-canin-yorkshire-junior-dog-dry-gr-spreadsheet
royal canin|beagle adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-beagle-adult-dog-dry-gr-official,Royal Canin Beagle Adult,official|retailer,royal-canin-beagle-adult-dog-dry-gr-official|royal-canin-beagle-adult-dog-dry-gr-gatoskilo
royal canin|boxer adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-boxer-adult-dog-dry-gr-official,Royal Canin Boxer Adult,official|retailer,royal-canin-boxer-adult-dog-dry-gr-official|royal-canin-boxer-adult-dog-dry-gr-gatoskilo
royal canin|bulldog adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-bulldog-adult-dog-dry-gr-official,Royal Canin Bulldog Adult,official|retailer,royal-canin-bulldog-adult-dog-dry-gr-official|royal-canin-bulldog-adult-dog-dry-gr-gatoskilo
royal canin|cavalier king charles adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-cavalier-king-charles-adult-dog-dry-gr-official,Royal Canin Cavalier King Charles Adult,official|retailer,royal-canin-cavalier-king-charles-adult-dog-dry-gr-official|royal-canin-cavalier-king-charles-adult-dog-dry-gr-gatoskilo
royal canin|cavalier king charles puppy|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-official,Royal Canin Cavalier King Charles Puppy,official|manual_photo,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-official|royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo
royal canin|cocker adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-cocker-adult-dog-dry-gr-official,Royal Canin Cocker Adult,official|retailer,royal-canin-cocker-adult-dog-dry-gr-official|royal-canin-cocker-adult-dog-dry-gr-gatoskilo
royal canin|dachshund adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-dachshund-adult-dog-dry-gr-official,Royal Canin Dachshund Adult,official|retailer,royal-canin-dachshund-adult-dog-dry-gr-official|royal-canin-dachshund-adult-dog-dry-gr-gatoskilo
royal canin|dalmatian adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-dalmatian-adult-dog-dry-gr-official,Royal Canin Dalmatian Adult,official|retailer,royal-canin-dalmatian-adult-dog-dry-gr-official|royal-canin-dalmatian-adult-dog-dry-gr-gatoskilo
royal canin|french bulldog puppy|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-french-bulldog-puppy-dog-dry-gr-official,Royal Canin French Bulldog Puppy,official|manual_photo,royal-canin-french-bulldog-puppy-dog-dry-gr-official|royal-canin-french-bulldog-puppy-dog-dry-gr-photo
royal canin|german shepherd adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-german-shepherd-adult-dog-dry-gr-gatoskilo,Royal Canin German Shepherd Adult 11kg,retailer|official,royal-canin-german-shepherd-adult-dog-dry-gr-gatoskilo|royal-canin-german-shepherd-adult-dog-dry-gr-official
royal canin|golden retriever adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-golden-retriever-adult-dog-dry-gr-official,Royal Canin Golden Retriever Adult,official|retailer,royal-canin-golden-retriever-adult-dog-dry-gr-official|royal-canin-golden-retriever-adult-dog-dry-gr-gatoskilo
royal canin|maltese adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-maltese-adult-dog-dry-gr-official,Royal Canin Maltese Adult,official|retailer,royal-canin-maltese-adult-dog-dry-gr-official|royal-canin-maltese-adult-dog-dry-gr-gatoskilo
royal canin|maxi adult 5 plus|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-maxi-adult-5-dog-dry-gr-gatoskilo,Royal Canin Maxi Adult 5+ 15kg,retailer|official,royal-canin-maxi-adult-5-dog-dry-gr-gatoskilo|royal-canin-maxi-adult-5-dog-dry-gr-official
royal canin|maxi dermacomfort|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-maxi-dermacomfort-dog-dry-gr-official,Royal Canin Maxi Dermacomfort,official|retailer,royal-canin-maxi-dermacomfort-dog-dry-gr-official|royal-canin-maxi-dermacomfort-dog-dry-gr-gatoskilo
royal canin|maxi digestive care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-maxi-digestive-care-dog-dry-gr-official,Royal Canin Maxi Digestive Care,official|retailer,royal-canin-maxi-digestive-care-dog-dry-gr-official|royal-canin-maxi-digestive-care-dog-dry-gr-gatoskilo
royal canin|maxi joint care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-maxi-joint-care-dog-dry-gr-official,Royal Canin Maxi Joint Care,official|retailer,royal-canin-maxi-joint-care-dog-dry-gr-official|royal-canin-maxi-joint-care-dog-dry-gr-gatoskilo
royal canin|maxi light weight care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-maxi-light-weight-care-dog-dry-gr-official,Royal Canin Maxi light Weight Care,official|retailer,royal-canin-maxi-light-weight-care-dog-dry-gr-official|royal-canin-maxi-light-weight-care-dog-dry-gr-gatoskilo
royal canin|medium adult 7 plus|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-medium-adult-7-dog-dry-gr-gatoskilo,Royal Canin Medium Adult 7+ 4kg,retailer|official,royal-canin-medium-adult-7-dog-dry-gr-gatoskilo|royal-canin-medium-adult-7-dog-dry-gr-official
royal canin|medium ageing 10 plus|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-medium-ageing-10-dog-dry-gr-gatoskilo,Royal Canin Medium Ageing 10+ 3kg,retailer|official,royal-canin-medium-ageing-10-dog-dry-gr-gatoskilo|royal-canin-medium-ageing-10-dog-dry-gr-official
royal canin|medium dermacomfort|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-medium-dermacomfort-dog-dry-gr-official,Royal Canin Medium Dermacomfort,official|retailer,royal-canin-medium-dermacomfort-dog-dry-gr-official|royal-canin-medium-dermacomfort-dog-dry-gr-gatoskilo
royal canin|medium digestive care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-medium-digestive-care-dog-dry-gr-official,Royal Canin Medium Digestive Care,official|retailer,royal-canin-medium-digestive-care-dog-dry-gr-official|royal-canin-medium-digestive-care-dog-dry-gr-gatoskilo
royal canin|medium light weight care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-medium-light-weight-care-dog-dry-gr-official,Royal Canin Medium Light Weight Care,official|retailer,royal-canin-medium-light-weight-care-dog-dry-gr-official|royal-canin-medium-light-weight-care-dog-dry-gr-gatoskilo
royal canin|mini adult 8 plus|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-mini-adult-8-dog-dry-gr-gatoskilo,Royal Canin Mini Adult 8+ 2kg,retailer|official,royal-canin-mini-adult-8-dog-dry-gr-gatoskilo|royal-canin-mini-adult-8-dog-dry-gr-official
royal canin|mini ageing 12 plus|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-ageing-12-dog-dry-gr-official,Royal Canin MINI AGEING 12+,official|retailer,royal-canin-mini-ageing-12-dog-dry-gr-official|royal-canin-mini-ageing-12-dog-dry-gr-gatoskilo
royal canin|mini dental care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-dental-care-dog-dry-gr-official,Royal Canin Mini Dental Care,official|retailer,royal-canin-mini-dental-care-dog-dry-gr-official|royal-canin-mini-dental-care-dog-dry-gr-gatoskilo
royal canin|mini dermacomfort|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-dermacomfort-dog-dry-gr-official,Royal Canin Mini Dermacomfort,official|retailer,royal-canin-mini-dermacomfort-dog-dry-gr-official|royal-canin-mini-dermacomfort-dog-dry-gr-gatoskilo
royal canin|mini digestive care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-digestive-care-dog-dry-gr-official,Royal Canin Mini Digestive Care,official|retailer,royal-canin-mini-digestive-care-dog-dry-gr-official|royal-canin-mini-digestive-care-dog-dry-gr-gatoskilo
royal canin|mini exigent|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-exigent-dog-dry-gr-gatoskilo,Royal Canin Mini Exigent 1kg,retailer|official,royal-canin-mini-exigent-dog-dry-gr-gatoskilo|royal-canin-mini-exigent-dog-dry-gr-official
royal canin|mini light weight care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-light-weight-care-dog-dry-gr-official,Royal Canin Mini Light Weight Care,official|retailer,royal-canin-mini-light-weight-care-dog-dry-gr-official|royal-canin-mini-light-weight-care-dog-dry-gr-gatoskilo
royal canin|mini urinary care|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-mini-urinary-care-dog-dry-gr-official,Royal Canin Mini Urinary Care,official|retailer,royal-canin-mini-urinary-care-dog-dry-gr-official|royal-canin-mini-urinary-care-dog-dry-gr-gatoskilo
royal canin|miniature schnauzer adult|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-miniature-schnauzer-adult-dog-dry-gr-official,Royal Canin Miniature Schnauzer Adult,official|manual_photo,royal-canin-miniature-schnauzer-adult-dog-dry-gr-official|royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo
royal canin|pomeranian adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-pomeranian-adult-dog-dry-gr-official,Royal Canin Pomeranian Adult,official|retailer,royal-canin-pomeranian-adult-dog-dry-gr-official|royal-canin-pomeranian-adult-dog-dry-gr-gatoskilo
royal canin|poodle adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-poodle-adult-dog-dry-gr-official,Royal Canin Poodle Adult,official|retailer,royal-canin-poodle-adult-dog-dry-gr-official|royal-canin-poodle-adult-dog-dry-gr-gatoskilo
royal canin|pug adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-pug-adult-dog-dry-gr-official,Royal Canin Pug Adult,official|retailer,royal-canin-pug-adult-dog-dry-gr-official|royal-canin-pug-adult-dog-dry-gr-gatoskilo
royal canin|rottweiler adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-rottweiler-adult-dog-dry-gr-official,Royal Canin Rottweiler Adult,official|retailer,royal-canin-rottweiler-adult-dog-dry-gr-official|royal-canin-rottweiler-adult-dog-dry-gr-gatoskilo
royal canin|x small adult|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-x-small-adult-dog-dry-gr-official,Royal Canin X-SMALL ADULT,official|manual_photo,royal-canin-x-small-adult-dog-dry-gr-official|royal-canin-x-small-adult-dog-dry-gr-photo
royal canin|yorkshire terrier adult|dog|dry,2,2,medium,multiple_importable_candidates,Use conflict check before commit. Import only one survivor for this canonical identity.,royal-canin-yorkshire-terrier-adult-dog-dry-gr-official,Royal Canin Yorkshire Terrier Adult,official,royal-canin-yorkshire-terrier-adult-dog-dry-gr-official
royal canin|yorkshire terrier puppy|dog|dry,2,1,medium,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill.,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-official,Royal Canin Yorkshire Terrier Puppy,official|manual_photo,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-official|royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo
royal canin|digestive care|cat|dry,2,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-digestive-care-cat-dry-gr-gatoskilo,Royal Canin Digestive Care 400gr,retailer|manual_photo,royal-canin-digestive-care-cat-dry-gr-gatoskilo|royal-canin-digestive-care-cat-dry-gr-photo
royal canin|hair and skin care|cat|dry,2,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-hair-and-skin-care-cat-dry-gr-gatoskilo,Royal Canin Hair & Skin Care 400g,retailer|manual_photo,royal-canin-hair-and-skin-care-cat-dry-gr-gatoskilo|royal-canin-hair-skin-care-cat-dry-gr-photo
royal canin|hairball care|cat|dry,2,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-hairball-care-cat-dry-gr-gatoskilo,Royal Canin Hairball Care 400g,retailer|manual_photo,royal-canin-hairball-care-cat-dry-gr-gatoskilo|royal-canin-hairball-care-cat-dry-gr-photo
royal canin|mini adult sterilised|dog|dry,2,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-mini-adult-sterilised-dog-dry-gr-gatoskilo,Royal Canin Mini Adult Sterilised 1kg,retailer|manual_photo,royal-canin-mini-adult-sterilised-dog-dry-gr-gatoskilo|royal-canin-mini-adult-sterilised-dog-dry-gr-photo
royal canin|urinary care|cat|dry,2,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-urinary-care-cat-dry-gr-gatoskilo,Royal Canin Urinary Care 400g,retailer|manual_photo,royal-canin-urinary-care-cat-dry-gr-gatoskilo|royal-canin-urinary-care-cat-dry-gr-photo