severity,issue_type,display_name,formula_name,species,format,source_priority,formula_key,suggested_action
medium,medical_claim_used_as_name,Royal Canin Vet Diet Cat GastroIntestinal Fibre Response 2kg,Vet Diet Cat GastroIntestinal Fibre Response,cat,dry,retailer,royal-canin-vet-diet-cat-gastrointestinal-fibre-response-cat-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,medical_claim_used_as_name,Royal Canin Vet Diet Cat GastroIntestinal Moderate Calorie 2kg,Vet Diet Cat GastroIntestinal Moderate Calorie,cat,dry,retailer,royal-canin-vet-diet-cat-gastrointestinal-moderate-calorie-cat-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,medical_claim_used_as_name,Royal Canin Vet Diet Cat Urinary S/O Moderate Calorie 1.5kg,Vet Diet Cat Urinary S/O Moderate Calorie,cat,dry,retailer,royal-canin-vet-diet-cat-urinary-s-o-moderate-calorie-cat-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,medical_claim_used_as_name,Royal Canin Vet Diet Dog GastroIntestinal High Fibre 2kg,Vet Diet Dog GastroIntestinal High Fibre,dog,dry,retailer,royal-canin-vet-diet-dog-gastrointestinal-high-fibre-dog-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,medical_claim_used_as_name,Royal Canin Vet Diet Dog GastroIntestinal Low Fat 1.5kg,Vet Diet Dog GastroIntestinal Low Fat,dog,dry,retailer,royal-canin-vet-diet-dog-gastrointestinal-low-fat-dog-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,medical_claim_used_as_name,Royal Canin Vet Diet Dog Urinary UC Low P 2kg,Vet Diet Dog Urinary UC Low P,dog,dry,retailer,royal-canin-vet-diet-dog-urinary-uc-low-p-dog-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,medical_claim_used_as_name,Royal Canin Vet Diet Urinary S/O Small Dog 1.5kg,Vet Diet Urinary S/O Small Dog,dog,dry,retailer,royal-canin-vet-diet-urinary-s-o-small-dog-dog-dry-gr-gatoskilo,Keep the medical claim in tags/notes; formula_name should be the official product line.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Cat GastroIntestinal Fibre Response 2kg,Vet Diet Cat GastroIntestinal Fibre Response,cat,dry,retailer,royal-canin-vet-diet-cat-gastrointestinal-fibre-response-cat-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Cat GastroIntestinal Moderate Calorie 2kg,Vet Diet Cat GastroIntestinal Moderate Calorie,cat,dry,retailer,royal-canin-vet-diet-cat-gastrointestinal-moderate-calorie-cat-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Cat Urinary S/O Moderate Calorie 1.5kg,Vet Diet Cat Urinary S/O Moderate Calorie,cat,dry,retailer,royal-canin-vet-diet-cat-urinary-s-o-moderate-calorie-cat-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Dog GastroIntestinal High Fibre 2kg,Vet Diet Dog GastroIntestinal High Fibre,dog,dry,retailer,royal-canin-vet-diet-dog-gastrointestinal-high-fibre-dog-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Dog GastroIntestinal Low Fat 1.5kg,Vet Diet Dog GastroIntestinal Low Fat,dog,dry,retailer,royal-canin-vet-diet-dog-gastrointestinal-low-fat-dog-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Dog Urinary UC Low P 2kg,Vet Diet Dog Urinary UC Low P,dog,dry,retailer,royal-canin-vet-diet-dog-urinary-uc-low-p-dog-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.
medium,retailer_title_needs_human_review,Royal Canin Vet Diet Urinary S/O Small Dog 1.5kg,Vet Diet Urinary S/O Small Dog,dog,dry,retailer,royal-canin-vet-diet-urinary-s-o-small-dog-dog-dry-gr-gatoskilo,Retailer title has quality warnings; prefer official/PDF title or manual canonicalization.