brand,species,formula_name_guess,source_group,product_url,product_title,recommended_action,notes
ACANA,cat,ADULT DOG,kompa distributor,https://kompa.gr/en/product/acana-adult-dog/,ADULT DOG,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,ADULT LARGE BREED,kompa distributor,https://kompa.gr/en/product/acana-adult-large-breed/,ADULT LARGE BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,ADULT SMALL BREED,kompa distributor,https://kompa.gr/en/product/acana-adult-small-breed/,ADULT SMALL BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,RED MEAT,kompa distributor,https://kompa.gr/en/product/acana-classic-red-classics/,RED MEAT,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,GRASS-FED LAMB,kompa distributor,https://kompa.gr/en/product/acana-grass-fed-lamb-singles/,GRASS-FED LAMB,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,GRASSLANDS,kompa distributor,https://kompa.gr/en/product/acana-grasslands-regionals/,GRASSLANDS,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PUPPY,kompa distributor,https://kompa.gr/en/product/acana-heritage-puppy-junior/,PUPPY,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,LIGHT & FIT,kompa distributor,https://kompa.gr/en/product/acana-light-fit/,LIGHT & FIT,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PACIFICA,kompa distributor,https://kompa.gr/en/product/acana-pacifica-regionals/,PACIFICA,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PRAIRIE POULTRY,kompa distributor,https://kompa.gr/en/product/acana-prairie-poultry-classics/,PRAIRIE POULTRY,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PUPPY LARGE BREED,kompa distributor,https://kompa.gr/en/product/acana-puppy-large-breed/,PUPPY LARGE BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,PUPPY SMALL BREED,kompa distributor,https://kompa.gr/en/product/acana-puppy-small-breed/,PUPPY SMALL BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,RANCHLANDS,kompa distributor,https://kompa.gr/en/product/acana-ranchlands-regionals/,RANCHLANDS,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,SENIOR,kompa distributor,https://kompa.gr/en/product/acana-senior/,SENIOR,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,SPORT & AGILITY,kompa distributor,https://kompa.gr/en/product/acana-sport-agility/,SPORT & AGILITY,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,WILD COAST,kompa distributor,https://kompa.gr/en/product/acana-wild-coast-classics/,WILD COAST,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,WILD PRAIRIE,kompa distributor,https://kompa.gr/en/product/acana-wild-prairie-classics/,WILD PRAIRIE,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,YORKSHIRE PORK,kompa distributor,https://kompa.gr/en/product/acana-yorkshire-pork-singles/,YORKSHIRE PORK,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,FREE-RUN DUCK,kompa distributor,https://kompa.gr/en/product/free-run-duck/,FREE-RUN DUCK,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,FIT & TRIM,kompa distributor,https://kompa.gr/en/product/orijen-fit-trim/,FIT & TRIM,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,ORIGINAL,kompa distributor,https://kompa.gr/en/product/orijen-original/,ORIGINAL,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,PUPPY LARGE,kompa distributor,https://kompa.gr/en/product/orijen-puppy-large/,PUPPY LARGE,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,PUPPY,kompa distributor,https://kompa.gr/en/product/orijen-puppy/,PUPPY,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,REGIONAL RED,kompa distributor,https://kompa.gr/en/product/orijen-regional-red/,REGIONAL RED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,SENIOR,kompa distributor,https://kompa.gr/en/product/orijen-senior/,SENIOR,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,SIX FISH,kompa distributor,https://kompa.gr/en/product/orijen-six-fish/,SIX FISH,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,PUPPY SMALL BREED,kompa distributor,https://kompa.gr/en/product/puppy-small-breed/,PUPPY SMALL BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,SMALL BREED MARINE FISH,kompa distributor,https://kompa.gr/en/product/small-breed-marine-fish/,SMALL BREED MARINE FISH,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,SMALL BREED,kompa distributor,https://kompa.gr/en/product/small-breed/,SMALL BREED,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,BOUNTIFUL CATCH,kompa distributor,https://kompa.gr/en/product/bountiful-catch/,BOUNTIFUL CATCH,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,ACANA Cat Chicken with Herring,kompa distributor,https://kompa.gr/en/product/first-feast/,ACANA Cat Chicken with Herring,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,Guardian 8,kompa distributor,https://kompa.gr/en/product/guardian-8/,Guardian 8,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ACANA,cat,ACANA Cat Homestead Harvest Chicken with Turkey,kompa distributor,https://kompa.gr/en/product/homestead-harvest/,ACANA Cat Homestead Harvest Chicken with Turkey,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,INDOOR ENTRÉE,kompa distributor,https://kompa.gr/en/product/indoor-entree/,INDOOR ENTRÉE,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,Kitten,kompa distributor,https://kompa.gr/en/product/kitten/,Kitten,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
,cat,Original Cat,kompa distributor,https://kompa.gr/en/product/original-cat/,Original Cat,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,FIT & TRIM Cat,kompa distributor,https://kompa.gr/en/product/orijen-fit-trim-2/,FIT & TRIM Cat,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,REGIONAL RED Cat,kompa distributor,https://kompa.gr/en/product/orijen-regional-red-cat-kitten/,REGIONAL RED Cat,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,SIX FISH Cat,kompa distributor,https://kompa.gr/en/product/orijen-six-fish-cat-kitten/,SIX FISH Cat,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
ORIJEN,cat,TUNDRA Cat,kompa distributor,https://kompa.gr/en/product/orijen-tundra/,TUNDRA Cat,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/animal-monoprotein-formula-chicken-1-5kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,"Adult Fish 1,5kg",schesir official,https://www.schesir.com/en/products/animal-monoprotein-formula-fish-1-5kg,"Adult Fish 1,5kg",Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/chicken-10kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Adult Chicken 400g,schesir official,https://www.schesir.com/en/products/chicken-400gr,Adult Chicken 400g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/fish-400g,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,"Adult Ham 1,5kg",schesir official,https://www.schesir.com/en/products/ham-1-5-kg,"Adult Ham 1,5kg",Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/ham-400g,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,,schesir official,https://www.schesir.com/en/products/sterilized-chicken-1-5kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Sterilized Chicken 10kg,schesir official,https://www.schesir.com/en/products/sterilized-chicken-10kg,Sterilized Chicken 10kg,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/sterilized-chicken-400g,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,"Sterilized Fish 1,5kg",schesir official,https://www.schesir.com/en/products/sterilized-fish-1-5kg,"Sterilized Fish 1,5kg",Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/sterilized-fish-10kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Sterilized Fish 400g,schesir official,https://www.schesir.com/en/products/sterilized-fish-400g,Sterilized Fish 400g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/sterilized-ham-1-5kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Sterilized Ham 10kg,schesir official,https://www.schesir.com/en/products/sterilized-ham-10kg,Sterilized Ham 10kg,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/sterilized-ham-400g,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,,schesir official,https://www.schesir.com/en/products/hairball-chicken-1-5kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Hairball Chicken 400g,schesir official,https://www.schesir.com/en/products/hairball-chicken-400g,Hairball Chicken 400g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/nutriage-7-chicken-1-5kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,NutriAge 7+ Chicken 400g,schesir official,https://www.schesir.com/en/products/nutriage-7-chicken-400g,NutriAge 7+ Chicken 400g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/chicken-with-egg-1-25kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Chicken with egg 255g,schesir official,https://www.schesir.com/en/products/chicken-with-egg-255g,Chicken with egg 255g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/chicken-with-herring-salmon-1-25kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Chicken with herring & salmon 255g,schesir official,https://www.schesir.com/en/products/chicken-with-herring-salmon-255g,Chicken with herring & salmon 255g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,,schesir official,https://www.schesir.com/en/products/herring-with-salmon-1-25kg,,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,"Product URL discovered, but static fetch failed or was blocked. Keep as source candidate for manual browser review."
Schesir,,Herring with salmon 255g,schesir official,https://www.schesir.com/en/products/herring-with-salmon-255g,Herring with salmon 255g,Match against existing/staged Food V2 rows and use as official provenance for ingredients/nutrients.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Maintenance Chicken 12kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-12kg,Schesir Dog Dry Medium Maintenance Chicken 12kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Maintenance Chicken 3kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-3kg,Schesir Dog Dry Medium Maintenance Chicken 3kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Maintenance Fish 12kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-fish-12kg,Schesir Dog Dry Medium Maintenance Fish 12kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Maintenance Fish 3kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-fish-3kg,Schesir Dog Dry Medium Maintenance Fish 3kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Maintenance Ham 12kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-ham-12kg,Schesir Dog Dry Medium Maintenance Ham 12kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Maintenance Ham 3kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-ham-3kg,Schesir Dog Dry Medium Maintenance Ham 3kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Puppy Chicken 12kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-puppy-chicken-12kg,Schesir Dog Dry Medium Puppy Chicken 12kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Dog Dry Medium Puppy Chicken 3kg,aigan retailer,https://www.aigan.gr/product/schesir-dog-dry-medium-puppy-chicken-3kg,Schesir Dog Dry Medium Puppy Chicken 3kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Small Dog Maintenance Chicken+Rice 2kg,aigan retailer,https://www.aigan.gr/product/schesir-small-dog-maintenance-chickenrice-2kg,Schesir Small Dog Maintenance Chicken+Rice 2kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Small Dog Maintenance Fish+Rice 2kg,aigan retailer,https://www.aigan.gr/product/schesir-small-dog-maintenance-fishrice-2kg,Schesir Small Dog Maintenance Fish+Rice 2kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Small Dog Maintenance Ham+Rice 2kg,aigan retailer,https://www.aigan.gr/product/schesir-small-dog-maintenance-hamrice-2kg,Schesir Small Dog Maintenance Ham+Rice 2kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
Schesir,,Schesir Small Dog Puppy Chicken + Rice 2kg,aigan retailer,https://www.aigan.gr/product/schesir-small-dog-puppy-chicken-rice-2kg,Schesir Small Dog Puppy Chicken + Rice 2kg,Use only as controlled fallback; prefer official page/PDF or label photo before commit.,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
